F	M	total	prop_M
10.0	0.0	10.0	0.0
7.0	0.0	7.0	0.0
5.0	0.0	5.0	0.0
58.0	0.0	58.0	0.0
0.0	1018.0	1018.0	1.0
242.0	0.0	242.0	0.0
386.0	0.0	386.0	0.0
5.0	0.0	5.0	0.0
5.0	0.0	5.0	0.0
0.0	24.0	24.0	1.0
0.0	5.0	5.0	1.0
8.0	0.0	8.0	0.0
849.0	0.0	849.0	0.0
0.0	4227.0	4227.0	1.0
6.0	0.0	6.0	0.0
0.0	10.0	10.0	1.0
26.0	0.0	26.0	0.0
5.0	0.0	5.0	0.0
22.0	0.0	22.0	0.0
181.0	0.0	181.0	0.0
27.0	0.0	27.0	0.0
0.0	721.0	721.0	1.0
5.0	0.0	5.0	0.0
272.0	0.0	272.0	0.0
7.0	0.0	7.0	0.0
5.0	0.0	5.0	0.0
0.0	5.0	5.0	1.0
243.0	0.0	243.0	0.0
0.0	588.0	588.0	1.0
37.0	0.0	37.0	0.0
1264.0	0.0	1264.0	0.0
0.0	48.0	48.0	1.0
0.0	86.0	86.0	1.0
0.0	16.0	16.0	1.0
26.0	0.0	26.0	0.0
0.0	33.0	33.0	1.0
21.0	0.0	21.0	0.0
23.0	0.0	23.0	0.0
0.0	1046.0	1046.0	1.0
5.0	0.0	5.0	0.0
0.0	19.0	19.0	1.0
9.0	0.0	9.0	0.0
0.0	121.0	121.0	1.0
0.0	348.0	348.0	1.0
0.0	147.0	147.0	1.0
0.0	40.0	40.0	1.0
452.0	0.0	452.0	0.0
0.0	54.0	54.0	1.0
0.0	11.0	11.0	1.0
0.0	702.0	702.0	1.0
79.0	0.0	79.0	0.0
41.0	0.0	41.0	0.0
65.0	0.0	65.0	0.0
0.0	12.0	12.0	1.0
38.0	0.0	38.0	0.0
5.0	11624.0	11629.0	0.999570040416
11.0	0.0	11.0	0.0
23.0	0.0	23.0	0.0
0.0	5.0	5.0	1.0
116.0	0.0	116.0	0.0
16.0	0.0	16.0	0.0
116.0	0.0	116.0	0.0
5.0	0.0	5.0	0.0
44.0	0.0	44.0	0.0
5.0	0.0	5.0	0.0
0.0	2019.0	2019.0	1.0
31547.0	0.0	31547.0	0.0
24.0	0.0	24.0	0.0
42.0	0.0	42.0	0.0
6.0	0.0	6.0	0.0
26.0	0.0	26.0	0.0
42.0	0.0	42.0	0.0
129.0	0.0	129.0	0.0
10.0	0.0	10.0	0.0
69.0	0.0	69.0	0.0
0.0	57.0	57.0	1.0
0.0	15.0	15.0	1.0
5.0	0.0	5.0	0.0
54.0	336918.0	336972.0	0.999839749297
47687.0	6.0	47693.0	0.000125804625417
1727.0	0.0	1727.0	0.0
6.0	0.0	6.0	0.0
66.0	0.0	66.0	0.0
20.0	0.0	20.0	0.0
403.0	0.0	403.0	0.0
4039.0	0.0	4039.0	0.0
17.0	0.0	17.0	0.0
133.0	0.0	133.0	0.0
1378.0	0.0	1378.0	0.0
0.0	11.0	11.0	1.0
16519.0	0.0	16519.0	0.0
3330.0	0.0	3330.0	0.0
19.0	0.0	19.0	0.0
5.0	0.0	5.0	0.0
5.0	107.0	112.0	0.955357142857
79.0	0.0	79.0	0.0
33.0	0.0	33.0	0.0
0.0	30.0	30.0	1.0
55.0	0.0	55.0	0.0
0.0	235.0	235.0	1.0
0.0	13.0	13.0	1.0
528.0	0.0	528.0	0.0
12.0	0.0	12.0	0.0
0.0	5.0	5.0	1.0
0.0	34.0	34.0	1.0
43.0	0.0	43.0	0.0
254.0	0.0	254.0	0.0
2497.0	0.0	2497.0	0.0
2847.0	0.0	2847.0	0.0
14.0	0.0	14.0	0.0
5.0	0.0	5.0	0.0
20.0	0.0	20.0	0.0
28.0	0.0	28.0	0.0
95.0	0.0	95.0	0.0
261.0	0.0	261.0	0.0
20277.0	0.0	20277.0	0.0
97.0	0.0	97.0	0.0
77.0	0.0	77.0	0.0
44.0	0.0	44.0	0.0
474.0	0.0	474.0	0.0
35.0	0.0	35.0	0.0
2795.0	0.0	2795.0	0.0
6.0	0.0	6.0	0.0
22.0	0.0	22.0	0.0
5.0	0.0	5.0	0.0
109.0	0.0	109.0	0.0
103.0	0.0	103.0	0.0
5.0	0.0	5.0	0.0
3109.0	0.0	3109.0	0.0
0.0	54.0	54.0	1.0
11.0	0.0	11.0	0.0
20.0	0.0	20.0	0.0
0.0	224.0	224.0	1.0
0.0	10.0	10.0	1.0
0.0	22.0	22.0	1.0
10.0	0.0	10.0	0.0
5.0	0.0	5.0	0.0
230.0	440634.0	440864.0	0.999478297162
58108.0	5.0	58113.0	8.60392683221e-05
3279.0	0.0	3279.0	0.0
10.0	0.0	10.0	0.0
161.0	0.0	161.0	0.0
391.0	0.0	391.0	0.0
69.0	55117.0	55186.0	0.998749682891
0.0	32.0	32.0	1.0
5.0	0.0	5.0	0.0
0.0	6.0	6.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	1783.0	1783.0	1.0
2402.0	0.0	2402.0	0.0
0.0	684.0	684.0	1.0
0.0	34.0	34.0	1.0
5.0	0.0	5.0	0.0
17.0	0.0	17.0	0.0
0.0	16.0	16.0	1.0
0.0	105.0	105.0	1.0
0.0	385.0	385.0	1.0
0.0	56.0	56.0	1.0
10.0	0.0	10.0	0.0
0.0	27.0	27.0	1.0
1561.0	0.0	1561.0	0.0
5.0	0.0	5.0	0.0
0.0	30.0	30.0	1.0
0.0	643.0	643.0	1.0
23.0	0.0	23.0	0.0
43.0	7501.0	7544.0	0.994300106045
6.0	0.0	6.0	0.0
6.0	0.0	6.0	0.0
0.0	57.0	57.0	1.0
0.0	6.0	6.0	1.0
0.0	81.0	81.0	1.0
48.0	0.0	48.0	0.0
0.0	11921.0	11921.0	1.0
0.0	32.0	32.0	1.0
489.0	0.0	489.0	0.0
18.0	0.0	18.0	0.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
